 V0_LATITUDE,V0_LONGITUDE, V1_LATITUDE,V1_LONGITUDE, V2_LATITUDE,V2_LONGITUDE, V3_LATITUDE,V3_LONGITUDE,       MG_WT,  MG_FIT_UNC,  MG_SYS_UNC,  MG_TOT_UNC,       AL_WT,  AL_FIT_UNC,  AL_SYS_UNC,  AL_TOT_UNC,       SI_WT,  SI_FIT_UNC,  SI_SYS_UNC,  SI_TOT_UNC,       FE_WT,  FE_FIT_UNC,  FE_SYS_UNC,  FE_TOT_UNC
       -3.01,       86.82,       -8.76,       86.71,       -8.77,       87.57,       -3.03,       87.68,        8.01,        0.27,        1.32,        1.35,       13.44,        0.34,        3.63,        3.65,       15.52,        0.44,        4.38,        4.40,        7.40,        0.00,        4.10,        4.10
        6.76,       86.99,        1.02,       86.89,        1.00,       87.75,        6.74,       87.86,        8.08,        0.28,        1.32,        1.35,       13.13,        0.34,        3.63,        3.65,       15.57,        0.44,        4.38,        4.40,        8.36,        0.00,        4.10,        4.10
       16.52,       87.15,       10.78,       87.05,       10.76,       87.93,       16.50,       88.06,        7.96,        0.32,        1.32,        1.36,       14.08,        0.41,        3.63,        3.66,       16.68,        0.52,        4.38,        4.41,        8.16,        0.00,        4.10,        4.10
       50.57,       87.86,       44.80,       87.70,       44.78,       88.99,       50.54,       89.32,        6.73,        0.52,        1.32,        1.42,       18.82,        0.78,        3.63,        3.72,       16.54,        0.94,        4.38,        4.48,        3.19,        0.00,        4.10,        4.10
       60.25,       88.25,       54.48,       87.99,       54.45,       89.60,       60.21,       90.14,        5.30,        0.53,        1.32,        1.42,       18.21,        0.85,        3.63,        3.73,       16.49,        1.00,        4.38,        4.49,        3.99,        0.00,        4.10,        4.10
       74.73,       89.58,       68.95,       88.84,       68.89,       91.50,       74.65,       93.23,        4.33,        0.78,        1.32,        1.53,       19.76,        1.34,        3.63,        3.87,       17.53,        1.55,        4.38,        4.64,        2.79,        0.00,        4.10,        4.10
       65.05,       74.41,       59.33,       74.08,       59.30,       75.69,       65.01,       76.35,        6.58,        0.85,        1.32,        1.57,       19.74,        1.17,        3.63,        3.82,       15.48,        1.45,        4.38,        4.61,        3.19,        0.00,        4.10,        4.10
       74.82,       75.46,       69.11,       74.72,       69.07,       77.04,       74.76,       78.60,        6.81,        0.77,        1.32,        1.53,       18.47,        1.03,        3.63,        3.78,       15.95,        1.29,        4.38,        4.56,        3.72,        0.00,        4.10,        4.10
       -2.34,       68.44,       -8.04,       68.35,       -8.06,       69.16,       -2.35,       69.24,       10.33,        0.50,        1.32,        1.41,       18.29,        0.91,        3.63,        3.75,       16.27,        1.04,        4.38,        4.50,        5.58,        0.00,        4.10,        4.10
        2.57,       68.51,       -3.14,       68.42,       -3.15,       69.23,        2.56,       69.31,        8.01,        0.45,        1.32,        1.40,       16.85,        0.88,        3.63,        3.74,       16.10,        0.99,        4.38,        4.49,        7.03,        0.00,        4.10,        4.10
